dataset,mu_ev,exclusion_probability,alpha_mean
IRAS 09149-6206,8.819714875604e-15,0.00000000,7.90931998e+03
IRAS 09149-6206,9.589990607460e-15,0.00000000,8.60008576e+03
IRAS 09149-6206,1.042753888854e-14,0.00000000,9.35118004e+03
IRAS 09149-6206,1.133823501218e-14,0.00000000,1.01678716e+04
IRAS 09149-6206,1.232846739442e-14,0.00000000,1.10558895e+04
IRAS 09149-6206,1.340518238791e-14,0.00000000,1.20214631e+04
IRAS 09149-6206,1.457593300969e-14,0.00000000,1.30713657e+04
IRAS 09149-6206,1.584893192461e-14,0.00000000,1.42129622e+04
IRAS 09149-6206,1.723310905614e-14,0.00000000,1.54542608e+04
IRAS 09149-6206,1.873817422860e-14,0.00000000,1.68039691e+04
IRAS 09149-6206,2.037468528040e-14,0.00000000,1.82715550e+04
IRAS 09149-6206,2.215412212581e-14,0.00000000,1.98673135e+04
IRAS 09149-6206,2.408896728518e-14,0.00000000,2.16024387e+04
IRAS 09149-6206,2.619279344816e-14,0.00000000,2.34891023e+04
IRAS 09149-6206,2.848035868436e-14,0.00000000,2.55405388e+04
IRAS 09149-6206,3.096770996935e-14,0.00000000,2.77711389e+04
IRAS 09149-6206,3.367229575211e-14,0.00000000,3.01965500e+04
IRAS 09149-6206,3.661308835364e-14,0.00000000,3.28337861e+04
IRAS 09149-6206,3.981071705535e-14,0.00000000,3.57013469e+04
IRAS 09149-6206,4.328761281083e-14,0.00000000,3.88193480e+04
IRAS 09149-6206,4.706816559609e-14,0.00000000,4.22096619e+04
IRAS 09149-6206,5.117889550211e-14,0.00000000,4.58960711e+04
IRAS 09149-6206,5.564863876983e-14,0.00000000,4.99044353e+04
IRAS 09149-6206,6.050875007273e-14,0.00000000,5.42628728e+04
IRAS 09149-6206,6.579332246576e-14,0.00000000,5.90019573e+04
IRAS 09149-6206,7.153942654377e-14,0.00000000,6.41549329e+04
IRAS 09149-6206,7.778737048694e-14,0.00000000,6.97579471e+04
IRAS 09149-6206,8.458098281751e-14,0.00000000,7.58503043e+04
IRAS 09149-6206,9.196791985117e-14,0.00000000,8.24747417e+04
IRAS 09149-6206,1.000000000000e-13,0.00000000,8.96777287e+04
